Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,is_business,journey_date,dep_time_obj,arr_time_obj,business_economy,duration_minutes,weekday_weekend,same_day_arrival,overnight_flight,popularity_of_airline,has_meal,has_inflight_entertainment,origin_code,destination_code,distance,is_diwali,is_eid_fitr,is_eid_adha,is_christmas_newyear,is_holi,is_ganesh_chaturthi,is_dussehra,is_republic_day,is_independence_day,is_holiday_period,month,day_of_month,week_of_year,quarter,season,is_spring,is_summer,is_monsoon,is_winter,departure_time_of_day,arrival_time_of_day,is_morning_departure,is_evening_departure,num_stops,is_direct_flight,route_key,route_popularity,is_metro_route,days_until_month_end,is_month_start,is_month_end,average_speed,duration_per_km,is_long_haul,is_short_haul
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,0,2019-06-09,21:25:00,12:35:00,0,910,1,0,1,3706,0,0,DEL,COK,2047.7659403700045,0,1,0,0,0,0,0,0,0,1,6,9,23,2,1,0,1,0,0,3,2,0,1,2,0,Delhi_Cochin,4345,0,21,1,0,135.0175345298904,0.4443867250939699,1,0
IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,0,2019-06-01,21:50:00,03:35:00,0,345,1,0,1,2043,0,0,DEL,COK,2047.7659403700045,0,1,0,0,0,0,0,0,0,1,6,1,22,2,1,0,1,0,0,3,0,0,1,1,0,Delhi_Cochin,4345,0,29,1,0,356.1332070208704,0.1684762858872743,1,0
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682,0,2019-05-15,07:00:00,12:55:00,0,355,0,1,0,194,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,15,20,2,1,0,1,0,0,1,2,1,0,1,0,Delhi_Cochin,4345,0,16,0,0,346.1012856963388,0.17335965649270255,1,0
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668,0,2019-06-18,09:45:00,12:35:00,0,170,0,1,0,481,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,6,18,25,2,1,0,1,0,0,1,2,1,0,0,1,Banglore_Delhi,1265,1,12,0,0,603.0536771836476,0.0994936309487559,1,0
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,0,2019-06-15,07:05:00,09:20:00,0,135,1,1,0,481,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,6,15,24,2,1,0,1,0,0,1,1,1,0,0,1,Chennai_Kolkata,381,1,15,0,0,615.6437445724066,0.09745896150000323,1,0
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,0,2019-06-18,07:05:00,09:20:00,0,135,0,1,0,481,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,6,18,25,2,1,0,1,0,0,1,1,1,0,0,1,Chennai_Kolkata,381,1,12,0,0,615.6437445724066,0.09745896150000323,1,0
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227,0,2019-05-01,09:50:00,23:15:00,0,805,0,1,0,1694,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,0,1,0,0,1,3,1,0,2,0,Kolkata_Banglore,2860,1,30,1,0,115.26240671906089,0.5205513376641807,1,0
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,0,2019-04-06,04:00:00,06:50:00,0,170,1,1,1,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,4,6,14,2,1,1,0,0,0,0,1,0,0,0,1,Banglore_Delhi,1265,1,24,1,0,603.0536771836476,0.0994936309487559,1,0
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,0,2019-06-15,14:35:00,12:35:00,0,1320,1,0,0,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,6,15,24,2,1,0,1,0,0,2,2,0,0,2,0,Delhi_Cochin,4345,0,15,0,0,93.08027001681839,0.6446049199165278,1,0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,0,2019-05-18,07:05:00,12:35:00,0,330,1,1,0,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,18,20,2,1,0,1,0,0,1,2,1,0,1,0,Delhi_Cochin,4345,0,13,0,0,372.32108006727356,0.16115122997913195,1,0
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,0,2019-06-27,10:35:00,21:00:00,0,625,0,1,0,2043,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,6,27,26,2,1,0,1,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,3,0,1,196.58553027552043,0.30521066283926507,1,0
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,0,2019-05-21,15:05:00,20:20:00,0,315,0,1,0,815,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,21,21,2,1,0,1,0,0,2,3,0,0,1,0,Kolkata_Banglore,2860,1,10,0,1,294.55948383760006,0.2036940016946794,1,0
Air India,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245,0,2019-05-18,14:15:00,16:45:00,0,150,1,1,0,1694,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,18,20,2,1,0,1,0,0,2,2,0,0,0,1,Kolkata_Banglore,2860,1,13,0,0,618.5749160589601,0.09699714366413306,1,0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225,0,2019-03-06,07:00:00,13:15:00,0,375,0,1,0,3706,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,0,0,0,1,2,1,0,1,0,Banglore_New Delhi,914,0,25,1,0,273.3843336565868,0.21947124473990273,1,0
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924,0,2019-06-03,07:05:00,19:00:00,0,715,0,1,0,3706,0,0,DEL,COK,2047.7659403700045,0,1,0,0,0,0,0,0,0,1,6,3,23,2,1,0,1,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,27,1,0,171.84049849258778,0.34916099828811925,1,0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646,0,2019-05-21,07:05:00,18:10:00,0,665,0,1,0,1209,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,21,21,2,1,0,1,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,10,0,1,184.76083672511317,0.324744145260978,1,0
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714,0,2019-03-15,06:45:00,15:15:00,0,510,0,1,0,1694,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,15,11,1,1,1,0,0,0,1,2,1,0,1,0,Banglore_New Delhi,914,0,16,0,0,201.01789239454916,0.2984808928462677,1,0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,0,2019-05-18,20:55:00,19:00:00,0,1325,1,0,0,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,18,20,2,1,0,1,0,0,3,3,0,1,1,0,Delhi_Cochin,4345,0,13,0,0,92.72902371486812,0.647046605219242,1,0
Air Asia,6/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,0,2019-05-06,11:10:00,13:55:00,0,165,0,1,0,319,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,5,6,19,2,1,0,1,0,0,1,2,1,0,0,1,Banglore_Delhi,1265,1,25,1,0,621.3280310376974,0.09656734768555719,1,0
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062,0,2019-03-21,09:00:00,21:00:00,0,720,0,1,0,1209,0,0,DEL,COK,2047.7659403700045,0,0,0,0,1,0,0,0,0,1,3,21,12,1,1,1,0,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,10,0,1,170.6471616975004,0.35160268359083335,1,0
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527,0,2019-03-24,05:45:00,08:35:00,0,170,1,1,0,815,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,0,0,0,0,1,0,0,0,1,Banglore_New Delhi,914,0,7,0,1,603.0536771836476,0.0994936309487559,1,0
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,0,2019-05-27,04:00:00,06:50:00,0,170,0,1,1,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,5,27,22,2,1,0,1,0,0,0,1,0,0,0,1,Banglore_Delhi,1265,1,4,0,1,603.0536771836476,0.0994936309487559,1,0
Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,0,2019-05-03,11:40:00,13:55:00,0,135,0,1,0,1694,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,5,3,18,2,1,0,1,0,0,1,2,1,0,0,1,Chennai_Kolkata,381,1,28,1,0,615.6437445724066,0.09745896150000323,1,0
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117,0,2019-05-15,19:00:00,11:05:00,0,965,0,0,0,1694,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,15,20,2,1,0,1,0,0,3,1,0,1,1,0,Kolkata_Banglore,2860,1,16,0,0,96.15154135631504,0.6240149575725893,1,0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,0,2019-06-27,23:05:00,19:00:00,0,1195,0,0,1,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,6,27,26,2,1,0,1,0,0,3,3,0,1,2,0,Delhi_Cochin,4345,0,3,0,1,102.81669993489562,0.5835627873486748,1,0
Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,0,2019-03-09,11:00:00,14:15:00,0,195,1,1,0,3706,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,3,9,10,1,1,1,0,0,0,1,2,1,0,0,1,Delhi_Cochin,4345,0,22,1,0,630.0818278061553,0.0952257268058507,1,0
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,0,2019-05-01,09:35:00,10:55:00,0,1520,0,0,0,3706,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,0,1,0,0,1,1,1,0,1,0,Kolkata_Banglore,2860,1,30,1,0,61.04357724266053,0.9829043891298817,1,0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377,0,2019-03-24,22:20:00,01:10:00,0,170,1,0,1,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,0,0,0,3,0,0,1,0,1,Banglore_New Delhi,914,0,7,0,1,603.0536771836476,0.0994936309487559,1,0
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943,0,2019-06-18,21:15:00,00:15:00,0,180,0,0,1,2043,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,6,18,25,2,1,0,1,0,0,3,0,0,1,0,1,Banglore_Delhi,1265,1,12,0,0,569.5506951178893,0.10534619747515331,1,0
Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483,0,2019-04-03,23:55:00,02:45:00,0,170,0,0,1,319,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,4,3,14,2,1,1,0,0,0,3,0,0,1,0,1,Banglore_Delhi,1265,1,27,1,0,603.0536771836476,0.0994936309487559,1,0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,0,2019-03-24,19:45:00,12:00:00,0,975,1,0,0,3706,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,0,0,0,3,2,0,1,1,0,Kolkata_Banglore,2860,1,7,0,1,95.16537170137848,0.6304814338168648,1,0
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345,0,2019-03-01,08:50:00,23:55:00,0,905,0,1,0,1694,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,1,9,1,1,1,0,0,0,1,3,1,0,2,0,Banglore_New Delhi,914,0,30,1,0,113.2808012389172,0.5296572706389653,1,0
Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414,0,2019-03-06,07:05:00,09:20:00,0,135,0,1,0,481,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,0,0,0,1,1,1,0,0,1,Chennai_Kolkata,381,1,25,1,0,615.6437445724066,0.09745896150000323,1,0
Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,0,2019-05-06,19:00:00,01:30:00,0,390,0,0,1,1209,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,5,6,19,2,1,0,1,0,0,3,0,0,1,1,0,Delhi_Cochin,4345,0,25,1,0,315.04091390307764,0.1904514536117014,1,0
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,0,2019-03-06,15:40:00,16:45:00,0,1505,0,0,0,481,0,0,BOM,HYD,622.9702752863185,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,0,0,0,2,2,0,0,1,0,Mumbai_Hyderabad,697,1,25,1,0,24.83602426390639,2.415845602437931,1,0
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366,0,2019-06-06,09:25:00,21:50:00,0,745,0,1,0,1694,0,0,CCU,BLR,1546.4372901474003,0,1,0,0,0,0,0,0,0,1,6,6,23,2,1,0,1,0,0,1,3,1,0,1,0,Kolkata_Banglore,2860,1,24,1,0,124.5452851125423,0.4817524801985275,1,0
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,0,2019-04-03,06:05:00,09:25:00,0,1640,0,0,0,1694,0,0,DEL,COK,2047.7659403700045,0,0,0,0,0,0,0,0,0,0,4,3,14,2,1,1,0,0,0,1,1,1,0,1,0,Delhi_Cochin,4345,0,27,1,0,74.91826611109772,0.8008727792902315,1,0
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,0,2019-06-03,08:45:00,19:00:00,0,615,0,1,0,1209,0,0,DEL,COK,2047.7659403700045,0,1,0,0,0,0,0,0,0,1,6,3,23,2,1,0,1,0,0,1,3,1,0,1,0,Delhi_Cochin,4345,0,27,1,0,199.78204296292725,0.3003272922338368,1,0
