Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,journey_date,dep_time_obj,arr_time_obj,business_economy,duration_minutes,weekday_weekend,same_day_arrival,overnight_flight,popularity_of_airline,has_meal,has_inflight_entertainment,origin_code,destination_code,distance,is_diwali,is_eid_fitr,is_eid_adha,is_christmas_newyear,is_holi,is_ganesh_chaturthi,is_dussehra,is_republic_day,is_independence_day,is_holiday_period,month,day_of_month,week_of_year,quarter,season,is_peak_season,departure_time_of_day,arrival_time_of_day,is_morning_departure,is_evening_departure,num_stops,is_direct_flight,route_key,route_popularity,is_metro_route,days_until_month_end,is_month_start,is_month_end,average_speed,duration_per_km,is_long_haul,is_short_haul
Air India,1/06/2019,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907,2019-06-01,09:45:00,23:00:00,0,795,1,1,0,1752,0,0,DEL,COK,2047.882109458646,0,1,0,0,0,0,0,0,0,1,6,1,22,2,1,0,1,3,1,0,1,0,Delhi_Cochin,4537,0,29,1,0,154.5571403365016,0.3882059403361636,1,0
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174,2019-04-18,20:20:00,22:55:00,0,155,0,1,0,2053,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,4,18,16,2,1,1,3,3,0,1,0,1,Kolkata_Banglore,2871,1,12,0,0,598.6208865086711,0.10023038178627082,1,0
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,2019-06-24,11:40:00,13:55:00,0,135,0,1,0,1752,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,6,24,26,2,1,0,1,2,1,0,0,1,Chennai_Kolkata,381,1,6,0,1,615.6437445724066,0.09745896150000323,1,0
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,2019-05-09,21:10:00,09:20:00,0,730,0,0,1,3849,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,9,19,2,1,1,3,1,0,1,1,0,Kolkata_Banglore,2871,1,22,1,0,127.10443480663565,0.4720527658321142,1,0
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,2019-04-24,17:15:00,19:50:00,0,155,0,1,0,2053,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,4,24,17,2,1,1,2,3,0,0,0,1,Kolkata_Banglore,2871,1,6,0,1,598.6208865086711,0.10023038178627082,1,0
Air India,3/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011,2019-03-03,16:40:00,19:15:00,0,1595,1,0,0,1752,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,3,3,9,1,1,1,2,3,0,0,2,0,Delhi_Cochin,4537,0,28,1,0,77.03631759719045,0.7788534274668942,1,0
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830,2019-04-15,08:45:00,13:15:00,0,270,0,1,0,818,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,4,15,16,2,1,1,1,2,1,0,1,0,Delhi_Cochin,4537,0,15,0,0,455.08491321303245,0.1318435269066216,1,0
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,2019-06-12,14:00:00,12:35:00,0,1355,0,0,0,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,6,12,24,2,1,0,2,2,0,0,1,0,Delhi_Cochin,4537,0,18,0,0,90.68112661809502,0.6616591813276751,1,0
Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381,2019-06-12,20:15:00,19:15:00,0,1380,0,0,0,1752,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,6,12,24,2,1,0,3,3,0,1,2,0,Delhi_Cochin,4537,0,18,0,0,89.03835258515852,0.6738669153005103,1,0
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,2019-05-27,16:00:00,12:35:00,0,1235,0,0,0,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,27,22,2,1,1,2,2,0,0,1,0,Delhi_Cochin,4537,0,4,0,1,99.49224823280872,0.6030620582580655,1,0
GoAir,6/03/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,2019-03-06,14:10:00,19:20:00,0,310,0,1,0,194,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,2,3,0,0,1,0,Delhi_Cochin,4537,0,25,1,0,396.3642792500605,0.15137590126315814,1,0
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,2019-03-21,22:00:00,13:20:00,0,920,0,0,1,1752,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,21,12,1,1,1,3,2,0,1,1,0,Banglore_New Delhi,932,0,10,0,1,111.43383165350008,0.5384361204285614,1,0
IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,2019-04-03,04:00:00,06:50:00,0,170,0,1,1,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,4,3,14,2,1,1,0,1,0,0,0,1,Banglore_Delhi,1265,1,27,1,0,603.0536771836476,0.0994936309487559,1,0
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,2019-05-01,18:55:00,21:50:00,0,175,0,1,0,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,1,3,3,0,1,0,1,Banglore_Delhi,1265,1,30,1,0,585.8235721212576,0.10241991421195461,1,0
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,2019-05-06,18:55:00,08:15:00,0,800,0,0,0,3849,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,6,19,2,1,1,3,1,0,1,1,0,Kolkata_Banglore,2871,1,25,1,0,115.98279676105501,0.517318099542043,1,0
Jet Airways,9/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,2019-06-09,21:25:00,12:35:00,0,910,1,0,1,3849,0,0,DEL,COK,2047.882109458646,0,1,0,0,0,0,0,0,0,1,6,9,23,2,1,0,3,2,0,1,2,0,Delhi_Cochin,4537,0,21,1,0,135.02519403024039,0.44436151661120615,1,0
IndiGo,1/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,2019-06-01,21:50:00,03:35:00,0,345,1,0,1,2053,0,0,DEL,COK,2047.882109458646,0,1,0,0,0,0,0,0,0,1,6,1,22,2,1,0,3,0,0,1,1,0,Delhi_Cochin,4537,0,29,1,0,356.1534103406341,0.1684667288251276,1,0
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682,2019-05-15,07:00:00,12:55:00,0,355,0,1,0,194,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,15,20,2,1,1,1,2,1,0,1,0,Delhi_Cochin,4537,0,16,0,0,346.12091990850354,0.17334982241426172,1,0
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668,2019-06-18,09:45:00,12:35:00,0,170,0,1,0,479,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,6,18,25,2,1,0,1,2,1,0,0,1,Banglore_Delhi,1265,1,12,0,0,603.0536771836476,0.0994936309487559,1,0
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,2019-06-15,07:05:00,09:20:00,0,135,1,1,0,479,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,6,15,24,2,1,0,1,1,1,0,0,1,Chennai_Kolkata,381,1,15,0,0,615.6437445724066,0.09745896150000323,1,0
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,2019-06-18,07:05:00,09:20:00,0,135,0,1,0,479,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,6,18,25,2,1,0,1,1,1,0,0,1,Chennai_Kolkata,381,1,12,0,0,615.6437445724066,0.09745896150000323,1,0
Air India,1/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227,2019-05-01,09:50:00,23:15:00,0,805,0,1,0,1752,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,1,1,3,1,0,2,0,Kolkata_Banglore,2871,1,30,1,0,115.26240671906089,0.5205513376641807,1,0
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,2019-04-06,04:00:00,06:50:00,0,170,1,1,1,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,4,6,14,2,1,1,0,1,0,0,0,1,Banglore_Delhi,1265,1,24,1,0,603.0536771836476,0.0994936309487559,1,0
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,2019-06-15,14:35:00,12:35:00,0,1320,1,0,0,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,6,15,24,2,1,0,2,2,0,0,2,0,Delhi_Cochin,4537,0,15,0,0,93.08555042993845,0.6445683537657056,1,0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,2019-05-18,07:05:00,12:35:00,0,330,1,1,0,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,18,20,2,1,1,1,2,1,0,1,0,Delhi_Cochin,4537,0,13,0,0,372.3422017197538,0.1611420884414264,1,0
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,2019-06-27,10:35:00,21:00:00,0,625,0,1,0,2053,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,6,27,26,2,1,0,1,3,1,0,1,0,Delhi_Cochin,4537,0,3,0,1,196.59668250803003,0.3051933493208833,1,0
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,2019-05-21,15:05:00,20:20:00,0,315,0,1,0,818,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,21,21,2,1,1,2,3,0,0,1,0,Kolkata_Banglore,2871,1,10,0,1,294.55948383760006,0.2036940016946794,1,0
Air India,18/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245,2019-05-18,14:15:00,16:45:00,0,150,1,1,0,1752,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,18,20,2,1,1,2,2,0,0,0,1,Kolkata_Banglore,2871,1,13,0,0,618.5749160589601,0.09699714366413306,1,0
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225,2019-03-06,07:00:00,13:15:00,0,375,0,1,0,3849,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,1,2,1,0,1,0,Banglore_New Delhi,932,0,25,1,0,273.3843336565868,0.21947124473990273,1,0
Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924,2019-06-03,07:05:00,19:00:00,0,715,0,1,0,3849,0,0,DEL,COK,2047.882109458646,0,1,0,0,0,0,0,0,0,1,6,3,23,2,1,0,1,3,1,0,1,0,Delhi_Cochin,4537,0,27,1,0,171.85024694757868,0.34914119162309054,1,0
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646,2019-05-21,07:05:00,18:10:00,0,665,0,1,0,1196,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,21,21,2,1,1,1,3,1,0,1,0,Delhi_Cochin,4537,0,10,0,1,184.77131814664477,0.32472572367741986,1,0
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714,2019-03-15,06:45:00,15:15:00,0,510,0,1,0,1752,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,15,11,1,1,1,1,2,1,0,1,0,Banglore_New Delhi,932,0,16,0,0,201.01789239454916,0.2984808928462677,1,0
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,2019-05-18,20:55:00,19:00:00,0,1325,1,0,0,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,18,20,2,1,1,3,3,0,1,1,0,Delhi_Cochin,4537,0,13,0,0,92.73428420190095,0.6470099005602726,1,0
Air Asia,6/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,2019-05-06,11:10:00,13:55:00,0,165,0,1,0,319,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,5,6,19,2,1,1,1,2,1,0,0,1,Banglore_Delhi,1265,1,25,1,0,621.3280310376974,0.09656734768555719,1,0
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062,2019-03-21,09:00:00,21:00:00,0,720,0,1,0,1196,0,0,DEL,COK,2047.882109458646,0,0,0,0,1,0,0,0,0,1,3,21,12,1,1,1,1,3,1,0,1,0,Delhi_Cochin,4537,0,10,0,1,170.65684245488717,0.3515827384176576,1,0
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527,2019-03-24,05:45:00,08:35:00,0,170,1,1,0,818,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,0,1,0,0,0,1,Banglore_New Delhi,932,0,7,0,1,603.0536771836476,0.0994936309487559,1,0
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,2019-05-27,04:00:00,06:50:00,0,170,0,1,1,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,5,27,22,2,1,1,0,1,0,0,0,1,Banglore_Delhi,1265,1,4,0,1,603.0536771836476,0.0994936309487559,1,0
Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,2019-05-03,11:40:00,13:55:00,0,135,0,1,0,1752,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,5,3,18,2,1,1,1,2,1,0,0,1,Chennai_Kolkata,381,1,28,1,0,615.6437445724066,0.09745896150000323,1,0
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117,2019-05-15,19:00:00,11:05:00,0,965,0,0,0,1752,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,15,20,2,1,1,3,1,0,1,1,0,Kolkata_Banglore,2871,1,16,0,0,96.15154135631504,0.6240149575725893,1,0
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,2019-06-27,23:05:00,19:00:00,0,1195,0,0,1,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,6,27,26,2,1,0,3,3,0,1,2,0,Delhi_Cochin,4537,0,3,0,1,102.82253269248432,0.5835296839015289,1,0
Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,2019-03-09,11:00:00,14:15:00,0,195,1,1,0,3849,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,3,9,10,1,1,1,1,2,1,0,0,1,Delhi_Cochin,4537,0,22,1,0,630.1175721411219,0.0952203249881156,1,0
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,2019-05-01,09:35:00,10:55:00,0,1520,0,0,0,3849,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,0,0,0,0,0,0,5,1,18,2,1,1,1,1,1,0,1,0,Kolkata_Banglore,2871,1,30,1,0,61.04357724266053,0.9829043891298817,1,0
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377,2019-03-24,22:20:00,01:10:00,0,170,1,0,1,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,3,0,0,1,0,1,Banglore_New Delhi,932,0,7,0,1,603.0536771836476,0.0994936309487559,1,0
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943,2019-06-18,21:15:00,00:15:00,0,180,0,0,1,2053,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,6,18,25,2,1,0,3,0,0,1,0,1,Banglore_Delhi,1265,1,12,0,0,569.5506951178893,0.10534619747515331,1,0
Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483,2019-04-03,23:55:00,02:45:00,0,170,0,0,1,319,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,4,3,14,2,1,1,3,0,0,1,0,1,Banglore_Delhi,1265,1,27,1,0,603.0536771836476,0.0994936309487559,1,0
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,2019-03-24,19:45:00,12:00:00,0,975,1,0,0,3849,0,0,CCU,BLR,1546.4372901474003,0,0,0,0,1,0,0,0,0,1,3,24,12,1,1,1,3,2,0,1,1,0,Kolkata_Banglore,2871,1,7,0,1,95.16537170137848,0.6304814338168648,1,0
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345,2019-03-01,08:50:00,23:55:00,0,905,0,1,0,1752,0,0,BLR,DEL,1708.6520853536679,0,0,0,0,0,0,0,0,0,0,3,1,9,1,1,1,1,3,1,0,2,0,Banglore_New Delhi,932,0,30,1,0,113.2808012389172,0.5296572706389653,1,0
Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414,2019-03-06,07:05:00,09:20:00,0,135,0,1,0,479,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,1,1,1,0,0,1,Chennai_Kolkata,381,1,25,1,0,615.6437445724066,0.09745896150000323,1,0
Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,2019-05-06,19:00:00,01:30:00,0,390,0,0,1,1196,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,6,19,2,1,1,3,0,0,1,1,0,Delhi_Cochin,4537,0,25,1,0,315.0587860705609,0.1904406499762312,1,0
Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,2019-03-06,15:40:00,16:45:00,0,1505,0,0,0,479,0,0,BOM,HYD,622.9702752863186,0,0,0,0,0,0,0,0,0,0,3,6,10,1,1,1,2,2,0,0,1,0,Mumbai_Hyderabad,697,1,25,1,0,24.83602426390639,2.4158456024379307,1,0
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366,2019-06-06,09:25:00,21:50:00,0,745,0,1,0,1752,0,0,CCU,BLR,1546.4372901474003,0,1,0,0,0,0,0,0,0,1,6,6,23,2,1,0,1,3,1,0,1,0,Kolkata_Banglore,2871,1,24,1,0,124.5452851125423,0.4817524801985275,1,0
Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,2019-04-03,06:05:00,09:25:00,0,1640,0,0,0,1752,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,4,3,14,2,1,1,1,1,1,0,1,0,Delhi_Cochin,4537,0,27,1,0,74.92251619970656,0.8008273486179979,1,0
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,2019-06-03,08:45:00,19:00:00,0,615,0,1,0,1196,0,0,DEL,COK,2047.882109458646,0,1,0,0,0,0,0,0,0,1,6,3,23,2,1,0,1,3,1,0,1,0,Delhi_Cochin,4537,0,27,1,0,199.79337653255084,0.3003102557317492,1,0
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191,2019-05-15,15:00:00,01:30:00,0,630,0,0,1,2053,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,5,15,20,2,1,1,2,0,0,0,1,0,Delhi_Cochin,4537,0,16,0,0,195.0363913770139,0.3076348961154504,1,0
Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,2019-05-24,07:05:00,09:20:00,0,135,0,1,0,479,0,0,MAA,CCU,1385.198425287915,0,0,0,0,0,0,0,0,0,0,5,24,21,2,1,1,1,1,1,0,0,1,Chennai_Kolkata,381,1,7,0,1,615.6437445724066,0.09745896150000323,1,0
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,2019-06-24,10:35:00,21:00:00,0,625,0,1,0,2053,0,0,DEL,COK,2047.882109458646,0,0,0,0,0,0,0,0,0,0,6,24,26,2,1,0,1,3,1,0,1,0,Delhi_Cochin,4537,0,6,0,1,196.59668250803003,0.3051933493208833,1,0
